"team","offense_epa","defense_epa_allowed","logo_x","logo_y","moved"
"BAL",0.32148390975596,-0.241236563073174,0.318161544473502,0.252580583045757,TRUE
"JAX",0.338167773368255,-0.184270496446771,0.341490138650712,0.172926476474187,TRUE
"KC",0.16442734042007,-0.343853448830275,0.16318169154752,0.346465391247701,FALSE
"SF",0.178767561435182,-0.264638923357,0.199140320776135,0.271664865034227,TRUE
"ARI",0.144142909939144,-0.243959003451107,0.125015799470741,0.234321119356454,TRUE
"NYJ",0.16835011036527,-0.118623774406199,0.16835011036527,0.118623774406199,FALSE
"CHI",0.40938169487142,0.181535845788867,0.418975169471954,-0.172266463406197,TRUE
"LV",-0.0391491414700978,-0.235889885888813,-0.0410664733071147,0.244331631121749,TRUE
"CIN",-0.00156017073333831,-0.185213868135111,0.020619766872647,0.188568449895218,TRUE
"BUF",0.252322134408275,0.0689076942296705,0.252322134408275,-0.0689076942296705,FALSE
"SEA",0.065603193432784,-0.109628270540569,0.065603193432784,0.109628270540569,FALSE
"NYG",0.368879210859394,0.220670051839149,0.35928573625886,-0.229939434221819,TRUE
"MIN",-0.0380907520742333,-0.174825677988437,-0.0583533578432018,0.163029350995394,TRUE
"DET",0.000409826941713982,-0.0198967483859098,0.0196014706971438,0.0390883921413396,TRUE
"PIT",-0.302776499092503,-0.321005718317915,-0.282546177285968,0.341236040124451,TRUE
"WAS",0.074925101658576,0.0710163568143646,0.102315660655712,-0.0436257978172286,TRUE
"PHI",0.0710163568143646,0.074925101658576,0.0436257978172286,-0.102315660655712,TRUE
"ATL",-0.321005718317915,-0.302776499092503,-0.341236040124451,0.282546177285968,TRUE
"NO",-0.0198967483859098,0.000409826941713982,-0.0390883921413396,-0.0196014706971438,TRUE
"GB",-0.174825677988437,-0.0380907520742333,-0.163056615326583,0.0584073685236938,TRUE
"DAL",0.220670051839149,0.368879210859394,0.229939434221819,-0.35928573625886,TRUE
"NE",-0.109628270540569,0.065603193432784,-0.109628270540569,-0.065603193432784,FALSE
"HOU",0.0689076942296705,0.252322134408275,0.0689076942296705,-0.252322134408275,FALSE
"TB",-0.185213868135111,-0.00156017073333831,-0.188635212665585,-0.0206150707679281,TRUE
"MIA",-0.235889885888813,-0.0391491414700978,-0.244237604020193,0.0410077665219037,TRUE
"CAR",0.181535845788867,0.40938169487142,0.172266463406197,-0.418975169471954,TRUE
"TEN",-0.118623774406199,0.16835011036527,-0.118623774406199,-0.16835011036527,FALSE
"LAC",-0.243959003451107,0.144142909939144,-0.234309850775338,-0.125027042315081,TRUE
"LA",-0.264638923357,0.178767561435182,-0.271671135964228,-0.199141989202614,TRUE
"DEN",-0.343853448830275,0.16442734042007,-0.346470388898816,-0.1631687802767,FALSE
"CLE",-0.184270496446771,0.338167773368255,-0.172926476474187,-0.341490138650712,TRUE
"IND",-0.241236563073174,0.32148390975596,-0.252580583045757,-0.318161544473502,TRUE
