"game_id","play_id","posteam","defteam","play_type","desc","epa","bottom_5","top_5","outlier"
"2026_01_ARI_LAC",962,"ARI","LAC","pass","(13:22) 7-J.Brissett pass short left to 17-K.Bourne to ARI 43 for 9 yards (4-T.Still; 43-T.Dye).",0.788402177393436,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",1018,"ARI","LAC","run","(12:35) 4-J.Love right end pushed ob at LAC 43 for 18 yards (0-D.Henley).",1.3893004192505,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",1045,"ARI","LAC","pass","(11:58) 66-J.Williams reported in as eligible. 7-J.Brissett pass short right to 4-J.Love to LAC 39 for 4 yards (43-T.Dye) [99-J.Caldwell].",-0.0762718883343041,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",1072,"ARI","LAC","run","(11:19) 4-J.Love right tackle to LAC 34 for 5 yards (43-T.Dye).",0.25740079022944,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",1094,"ARI","LAC","run","(10:58) (No Huddle) 7-J.Brissett left guard to LAC 30 for 4 yards (3-D.James). LAC-99-J.Caldwell was injured during the play.",0.872020301409066,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",1150,"ARI","LAC","run","(10:16) (Shotgun) 22-T.Allgeier right tackle to LAC 34 for 1 yard (0-D.Henley; 90-A.Mesidor).",-0.55871752591338,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",1172,"ARI","LAC","pass","(9:39) (Shotgun) 7-J.Brissett pass short left to 85-T.McBride to LAC 28 for 6 yards (3-D.James).",0.342615335131995,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",1197,"ARI","LAC","pass","(8:59) (Shotgun) 7-J.Brissett pass short left to 17-K.Bourne to LAC 16 for 12 yards (2-E.Molden).",1.82705031277146,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",1222,"ARI","LAC","run","(8:19) 22-T.Allgeier up the middle to LAC 13 for 3 yards (45-T.Tuipulotu).",-0.177947170799598,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",1244,"ARI","LAC","pass","(7:43) (Shotgun) 7-J.Brissett pass short right to 22-T.Allgeier to LAC 9 for 4 yards (23-T.Jefferson).",-0.273779091658071,FALSE,FALSE,FALSE
"2026_01_ARI_LAC",1269,"ARI","LAC","pass","(6:59) (Shotgun) 7-J.Brissett pass incomplete short right to 85-T.McBride (23-T.Jefferson). ** Injury Update: LAC-99-J.Caldwell has returned to the game.",-1.42329581153599,FALSE,FALSE,FALSE
