posteam,td_pct,fg_att_pct,punt_pct,turnover_pct
ARI,0.2,0.5,0.3,0
ATL,0.07692307692307693,0.3076923076923077,0.46153846153846156,0.15384615384615385
BAL,0.4166666666666667,0.16666666666666666,0.25,0.16666666666666666
BUF,0.4,0.3,0.2,0.1
CAR,0.4166666666666667,0.08333333333333333,0.25,0.25
CHI,0.6153846153846154,0.07692307692307693,0.15384615384615385,0.15384615384615385
CIN,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.2222222222222222
CLE,0.125,0.125,0.375,0.375
DAL,0.5,0,0.3333333333333333,0.16666666666666666
DEN,0.09090909090909091,0.09090909090909091,0.5454545454545454,0.2727272727272727
DET,0.3076923076923077,0.07692307692307693,0.5384615384615384,0.07692307692307693
GB,0.16666666666666666,0.25,0.25,0.3333333333333333
HOU,0.36363636363636365,0.09090909090909091,0.36363636363636365,0.18181818181818182
IND,0.25,0.08333333333333333,0.4166666666666667,0.25
JAX,0.5,0.25,0.25,0
KC,0.36363636363636365,0.09090909090909091,0.36363636363636365,0.18181818181818182
LA,0.125,0,0.375,0.5
LAC,0.2,0,0.3,0.5
LV,0.3,0.2,0.3,0.2
MIA,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.2727272727272727
MIN,0.45454545454545453,0.09090909090909091,0.36363636363636365,0.09090909090909091
NE,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.3333333333333333
NO,0.2857142857142857,0.14285714285714285,0.35714285714285715,0.21428571428571427
NYG,0.6666666666666666,0,0.16666666666666666,0.16666666666666666
NYJ,0.2222222222222222,0.4444444444444444,0.3333333333333333,0
PHI,0.2727272727272727,0.09090909090909091,0.6363636363636364,0
PIT,0.08333333333333333,0.25,0.3333333333333333,0.3333333333333333
SEA,0.125,0.25,0.625,0
SF,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.1111111111111111
TB,0.2222222222222222,0.2222222222222222,0,0.5555555555555556
TEN,0.1,0.2,0.7,0
WAS,0.2727272727272727,0.18181818181818182,0.5454545454545454,0
