"game_id","play_id","week","posteam","play_type","epa"
"2026_01_ARI_LAC",2751,1,"ARI","pass",-0.639965065289289
"2026_01_ARI_LAC",2781,1,"ARI","pass",-1.0320623437874
"2026_01_ARI_LAC",2804,1,"ARI","pass",-1.01741548115388
"2026_01_ARI_LAC",2849,1,"LAC","pass",0.187248965259641
"2026_01_ARI_LAC",2886,1,"LAC","run",0.412012620130554
"2026_01_ARI_LAC",2932,1,"LAC","pass",-0.666090465849265
"2026_01_ARI_LAC",2955,1,"LAC","run",-1.01762354047969
"2026_01_ARI_LAC",2977,1,"LAC","pass",-1.02852114057168
"2026_01_ARI_LAC",3035,1,"ARI","run",-0.568547169445083
"2026_01_ARI_LAC",3077,1,"ARI","pass",-0.25328031857498
"2026_01_ARI_LAC",3102,1,"ARI","pass",-0.79735354706645
"2026_01_ARI_LAC",3155,1,"LAC","pass",-1.2873175831046
"2026_01_ARI_LAC",3175,1,"LAC","pass",-0.44063282944262
"2026_01_ARI_LAC",3200,1,"LAC","pass",-1.14531577331945
"2026_01_ARI_LAC",3261,1,"ARI","run",-0.381938267382793
"2026_01_ARI_LAC",3285,1,"ARI","pass",1.1799865840585
"2026_01_ARI_LAC",3347,1,"LAC","pass",0.809230150654912
"2026_01_ARI_LAC",3372,1,"LAC","run",-0.149919551797211
"2026_01_ARI_LAC",3394,1,"LAC","pass",0.637983086518943
"2026_01_ARI_LAC",3419,1,"LAC","pass",-2.34865460090805
"2026_01_ARI_LAC",3467,1,"ARI","run",-0.589360890327953
"2026_01_ARI_LAC",3496,1,"ARI","run",0.117391710169613
"2026_01_ARI_LAC",3518,1,"ARI","pass",1.25957663264126
"2026_01_ARI_LAC",3543,1,"ARI","run",0.261024783132598
"2026_01_ARI_LAC",3565,1,"ARI","run",0.557213853579015
"2026_01_ARI_LAC",3587,1,"ARI","run",-0.320186435710639
"2026_01_ARI_LAC",3609,1,"ARI","run",-0.00279047386720777
"2026_01_ARI_LAC",3631,1,"ARI","pass",-1.59611808508635
"2026_01_ARI_LAC",3686,1,"LAC","run",0.73423968476709
"2026_01_ARI_LAC",3713,1,"LAC","pass",-0.573017358779907
"2026_01_ARI_LAC",3821,1,"LAC","pass",-0.61730347853154
"2026_01_ARI_LAC",3849,1,"LAC","pass",0.0714720042888075
"2026_01_ARI_LAC",3881,1,"LAC","pass",-2.02781349141151
"2026_01_ARI_LAC",3917,1,"ARI","run",-1.50295499042841
"2026_01_ARI_LAC",3939,1,"ARI","run",-0.307021840242669
"2026_01_ARI_LAC",3968,1,"ARI","run",0.366849836387501
"2026_01_ARI_LAC",4027,1,"LAC","pass",-1.11723964556586
"2026_01_ARI_LAC",4047,1,"LAC","pass",-0.479509291821159
"2026_01_ARI_LAC",4070,1,"LAC","pass",-0.238456208375283
"2026_01_ARI_LAC",4095,1,"LAC","pass",-1.76426373823779
"2026_01_ATL_PIT",68,1,"PIT","pass",-0.486624904675409
"2026_01_ATL_PIT",100,1,"PIT","run",-0.495858779642731
"2026_01_ATL_PIT",122,1,"PIT","pass",-1.57847676286474
"2026_01_ATL_PIT",164,1,"ATL","run",-0.481132688000798
"2026_01_ATL_PIT",186,1,"ATL","pass",-0.146002063527703
"2026_01_ATL_PIT",211,1,"ATL","pass",-2.05424473574385
"2026_01_ATL_PIT",268,1,"PIT","run",0.136999298119918
"2026_01_ATL_PIT",298,1,"PIT","pass",0.776716134278104
"2026_01_ATL_PIT",323,1,"PIT","pass",0.15378972585313
"2026_01_ATL_PIT",348,1,"PIT","pass",1.47647841775324
"2026_01_ATL_PIT",373,1,"PIT","run",-0.489191850996576
"2026_01_ATL_PIT",395,1,"PIT","pass",-0.644343620631844
"2026_01_ATL_PIT",418,1,"PIT","pass",-1.37764919079173
"2026_01_ATL_PIT",491,1,"ATL","pass",0.493519854731858
"2026_01_ATL_PIT",516,1,"ATL","run",0.313327288255095
"2026_01_ATL_PIT",543,1,"ATL","pass",0.472829979145899
"2026_01_ATL_PIT",571,1,"ATL","run",0.587342152372003
"2026_01_ATL_PIT",600,1,"ATL","run",-0.484406529925764
"2026_01_ATL_PIT",655,1,"ATL","pass",-0.91247421503067
"2026_01_ATL_PIT",678,1,"ATL","pass",-1.11273427121341
"2026_01_ATL_PIT",721,1,"PIT","pass",0.72925624018535
"2026_01_ATL_PIT",758,1,"PIT","run",0.146940794074908
"2026_01_ATL_PIT",783,1,"PIT","run",-0.467919509159401
"2026_01_ATL_PIT",805,1,"PIT","pass",-5.12980534823146
"2026_01_ATL_PIT",851,1,"ATL","run",-0.173887885524891
"2026_01_ATL_PIT",873,1,"ATL","run",-0.672660730779171
"2026_01_ATL_PIT",895,1,"ATL","pass",3.62281989026815
"2026_01_ATL_PIT",1000,1,"PIT","run",-0.246459727408364
"2026_01_ATL_PIT",1042,1,"PIT","run",-1.16403000801802
"2026_01_ATL_PIT",1105,1,"PIT","pass",-0.449987247237004
"2026_01_ATL_PIT",1128,1,"PIT","pass",1.14407132560154
"2026_01_ATL_PIT",1153,1,"PIT","run",-0.261912509158719
"2026_01_ATL_PIT",1175,1,"PIT","pass",-0.497316004475579
"2026_01_ATL_PIT",1200,1,"PIT","pass",-1.29242037715189
"2026_01_ATL_PIT",1294,1,"ATL","pass",-4.75561617780477
"2026_01_ATL_PIT",1326,1,"PIT","pass",1.22231717425166
"2026_01_ATL_PIT",1351,1,"PIT","pass",0.428306210262235
"2026_01_ATL_PIT",1376,1,"PIT","pass",-0.911695131740998
"2026_01_ATL_PIT",1399,1,"PIT","pass",2.5222247413476
"2026_01_ATL_PIT",1469,1,"ATL","run",0.151878551812842
"2026_01_ATL_PIT",1491,1,"ATL","run",0.507809359580278
