"game_id","play_id","posteam","play_type","wp","shotgun","under_center","epa","desc"
"2025_11_GB_NYG",4041,"NYG","pass",0.2234106361866,1,FALSE,-3.90808350511361,"(:40) (No Huddle, Shotgun) 19-J.Winston pass deep left intended for 13-J.Hyatt INTERCEPTED by 33-E.Williams at GB -5. Touchback."
"2025_11_HOU_TEN",62,"HOU","run",0.448653161525726,0,TRUE,-0.324879942461848,"(14:54) 27-W.Marks up the middle to HOU 37 for 2 yards (37-A.Hooker)."
"2025_11_HOU_TEN",84,"HOU","pass",0.436781466007233,1,FALSE,-0.854375365190208,"(14:19) (Shotgun) 10-D.Mills pass incomplete deep right to 12-N.Collins (18-J.Armour-Davis)."
"2025_11_HOU_TEN",107,"HOU","pass",0.404932260513306,1,FALSE,2.18063445552252,"(14:14) (Shotgun) 10-D.Mills pass short right to 81-J.Higgins ran ob at HOU 47 for 10 yards."
"2025_11_HOU_TEN",137,"HOU","run",0.462427049875259,0,TRUE,-0.23756761639379,"(13:37) 27-W.Marks right tackle to 50 for 3 yards (50-C.Barton)."
"2025_11_HOU_TEN",164,"HOU","pass",0.46655923128128,1,FALSE,-0.887893009698018,"(12:59) (Shotgun) 10-D.Mills pass incomplete short left [53-J.Ward]."
"2025_11_HOU_TEN",187,"HOU","pass",0.434212654829025,1,FALSE,1.69395086774603,"(12:54) (Shotgun) 10-D.Mills pass short right to 12-N.Collins to TEN 43 for 7 yards (39-D.Baker)."
"2025_11_HOU_TEN",212,"HOU","pass",0.48011788725853,0,TRUE,1.62154800316785,"(12:17) 10-D.Mills pass deep right to 19-X.Hutchinson pushed ob at TEN 21 for 22 yards (39-D.Baker)."
"2025_11_HOU_TEN",242,"HOU","run",0.560728490352631,0,TRUE,-0.798913012375124,"(11:35) 27-W.Marks left end to TEN 22 for -1 yards (18-J.Armour-Davis)."
"2025_11_HOU_TEN",264,"HOU","pass",0.537240445613861,1,FALSE,-0.588572689914145,"(10:56) (Shotgun) 10-D.Mills pass incomplete short right to 13-C.Kirk (50-C.Barton)."
"2025_11_HOU_TEN",287,"HOU","pass",0.513399541378021,1,FALSE,-0.187121357477736,"(10:52) (Shotgun) 10-D.Mills pass short left to 33-D.Ogunbowale to TEN 13 for 9 yards (33-C.Gray; 50-C.Barton)."
"2025_11_HOU_TEN",344,"HOU","run",0.594710767269135,0,TRUE,-1.12687843351159,"(10:07) 27-W.Marks up the middle to TEN 4 for 2 yards (33-C.Gray). PENALTY on HOU-71-T.Howard, Offensive Holding, 10 yards, enforced at TEN 5."
"2025_11_HOU_TEN",382,"HOU","pass",0.548759877681732,1,FALSE,0.360344135027844,"(9:56) (Shotgun) 10-D.Mills pass short left to 86-D.Schultz to TEN 7 for 8 yards (23-K.Winston; 33-C.Gray)."
"2025_11_HOU_TEN",407,"HOU","pass",0.559134244918823,1,FALSE,-0.845948060625233,"(9:17) (Shotgun) 10-D.Mills pass incomplete short right to 13-C.Kirk. Houston challenged the incomplete pass ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1.)"
"2025_11_HOU_TEN",430,"HOU","pass",0.535445928573608,1,FALSE,0.412370819074567,"(9:12) (Shotgun) 10-D.Mills pass short right to 13-C.Kirk to TEN 1 for 6 yards (26-M.Harris; 92-J.Harrell)."
"2025_11_HOU_TEN",498,"HOU","pass",0.531459212303162,0,TRUE,-5.2411836941028,"(8:24) 10-D.Mills sacked at TEN 12 for -11 yards (50-C.Barton)."
"2025_11_HOU_TEN",518,"TEN","pass",0.595612525939941,1,FALSE,0.841443962883204,"(8:20) (Shotgun) 1-C.Ward pass short right to 0-C.Ridley to TEN 25 for 13 yards (0-A.Al-Shaair; 2-C.Bullock). TEN-0-C.Ridley was injured during the play."
"2025_11_HOU_TEN",553,"TEN","run",0.612697124481201,0,TRUE,-0.454924773424864,"(8:00) 20-T.Pollard right guard to TEN 27 for 2 yards (90-S.Rankins; 51-W.Anderson)."
"2025_11_HOU_TEN",582,"TEN","pass",0.597714304924011,1,FALSE,-0.720477760303766,"(7:21) (Shotgun) 1-C.Ward pass incomplete short left to 17-C.Dike."
"2025_11_HOU_TEN",605,"TEN","pass",0.572411477565765,1,FALSE,1.94502687361091,"(7:18) (Shotgun) 1-C.Ward pass short left to 17-C.Dike pushed ob at TEN 36 for 9 yards (25-M.Bryant)."
"2025_11_HOU_TEN",635,"TEN","run",0.640445172786713,0,TRUE,-1.09258174849674,"(6:36) 20-T.Pollard right tackle to TEN 32 for -4 yards (51-W.Anderson, 24-D.Stingley)."
"2025_11_HOU_TEN",657,"TEN","pass",0.610764801502228,1,FALSE,0.611089133890346,"(5:57) (Shotgun) 1-C.Ward pass short middle to 11-V.Jefferson to TEN 43 for 11 yards (2-C.Bullock)."
"2025_11_HOU_TEN",730,"TEN","pass",0.593380033969879,1,FALSE,2.57600454986095,"(4:36) (Shotgun) 1-C.Ward pass short left to 2-T.Spears to TEN 48 for 15 yards (2-C.Bullock)."
"2025_11_HOU_TEN",755,"TEN","run",0.651580452919006,0,TRUE,-0.352560563012958,"(3:54) 20-T.Pollard up the middle to HOU 49 for 3 yards (95-D.Barnett; 90-S.Rankins)."
"2025_11_HOU_TEN",777,"TEN","pass",0.641579866409302,1,FALSE,1.13163684215397,"(3:11) (Shotgun) 1-C.Ward pass deep left to 85-C.Okonkwo to HOU 33 for 16 yards (25-M.Bryant)."
"2025_11_HOU_TEN",833,"TEN","run",0.684983789920807,0,TRUE,0.295476672006771,"(2:24) 20-T.Pollard left guard to HOU 31 for 7 yards (0-A.Al-Shaair; 45-E.Speed)."
"2025_11_HOU_TEN",855,"TEN","pass",0.671674072742462,0,TRUE,-2.00330226600636,"(1:46) 1-C.Ward pass short right to 20-T.Pollard to HOU 38 for -7 yards (90-S.Rankins)."
"2025_11_HOU_TEN",880,"TEN","pass",0.64086925983429,1,FALSE,-1.37970248992209,"(1:00) (Shotgun) 1-C.Ward pass incomplete deep right to 11-V.Jefferson (24-D.Stingley)."
"2025_11_HOU_TEN",958,"HOU","pass",0.344435155391693,0,TRUE,0.998419306008145,"(:43) 10-D.Mills pass short middle to 81-J.Higgins to HOU 46 for 13 yards (37-A.Hooker)."
