"posteam","receiver_player_id","short_name","receptions","targets","red_zone_targets","team_targets","display_name","player","target_share","rank"
"LAC","00-0038454","K.Mitchell",1,1,0,53,"Keaton Mitchell","Keaton Mitchell",0.0188679245283019,269
"BAL","00-0040879","M.Hibner",1,1,0,53,"Matthew Hibner","Matthew Hibner",0.0188679245283019,270
"SF","00-0032701","J.Brendel",1,1,0,55,"Jake Brendel","Jake Brendel",0.0181818181818182,271
"SF","00-0041052","K.Black",1,1,0,55,"Kaelon Black","Kaelon Black",0.0181818181818182,272
"SF","00-0034854","K.Hodge",1,1,0,55,"KhaDarel Hodge","KhaDarel Hodge",0.0181818181818182,273
"DEN","00-0036727","A.Prentice",1,1,0,56,"Adam Prentice","Adam Prentice",0.0178571428571429,274
"CHI","00-0040277","J.Walker",1,1,1,56,"Jahdae Walker","Jahdae Walker",0.0178571428571429,275
"DEN","00-0035406","L.Humphrey",0,1,0,56,"Lil'Jordan Humphrey","Lil'Jordan Humphrey",0.0178571428571429,276
"LA","00-0039738","B.Corum",1,1,0,57,"Blake Corum","Blake Corum",0.0175438596491228,277
"LA","00-0039751","J.Whittington",1,1,0,57,"Jordan Whittington","Jordan Whittington",0.0175438596491228,278
"LA","00-0037557","R.Rivers",1,1,0,57,"Ronnie Rivers","Ronnie Rivers",0.0175438596491228,279
"LA","00-0038359","X.Smith",0,1,1,57,"Xavier Smith","Xavier Smith",0.0175438596491228,280
"LV","00-0037093","D.Young",1,1,0,58,"Dareke Young","Dareke Young",0.0172413793103448,281
"LV","00-0034365","I.Thomas",1,1,0,58,"Ian Thomas","Ian Thomas",0.0172413793103448,282
"LV","00-0040878","M.Washington",0,1,0,58,"Mike Washington Jr.","Mike Washington Jr.",0.0172413793103448,283
"NYJ","00-0040582","A.Smith",0,1,0,59,"Arian Smith","Arian Smith",0.0169491525423729,284
"IND","00-0035021","A.Dulin",0,1,0,59,"Ashton Dulin","Ashton Dulin",0.0169491525423729,285
"NYJ","00-0041511","O.Cooper",1,1,0,59,"Omar Cooper Jr.","Omar Cooper Jr.",0.0169491525423729,286
"IND","00-0041125","S.McGowan",1,1,0,59,"Seth McGowan","Seth McGowan",0.0169491525423729,287
"DAL","00-0039062","J.Mingo",1,1,0,61,"Jonathan Mingo","Jonathan Mingo",0.0163934426229508,288
"DAL","00-0037801","K.Turpin",1,1,0,61,"KaVontae Turpin","KaVontae Turpin",0.0163934426229508,289
"DAL","00-0038547","L.Schoonmaker",1,1,0,61,"Luke Schoonmaker","Luke Schoonmaker",0.0163934426229508,290
"NYG","00-0033376","P.Ricard",0,1,0,61,"Patrick Ricard","Patrick Ricard",0.0163934426229508,291
"WAS","00-0039912","B.Sinnott",1,1,0,63,"Ben Sinnott","Ben Sinnott",0.0158730158730159,292
"WAS","00-0039686","C.Yankoff",1,1,0,63,"Colson Yankoff","Colson Yankoff",0.0158730158730159,293
"WAS","00-0040164","J.Lane",1,1,0,63,"Jaylin Lane","Jaylin Lane",0.0158730158730159,294
"WAS","00-0037742","T.Burks",0,1,0,63,"Treylon Burks","Treylon Burks",0.0158730158730159,295
"CIN","00-0041069","C.Young",1,1,0,65,"Colbie Young","Colbie Young",0.0153846153846154,296
"CIN","00-0034613","T.Hudson",1,1,0,65,"Tanner Hudson","Tanner Hudson",0.0153846153846154,297
"CAR","00-0040218","Ji.Horn",0,1,0,66,"Jimmy Horn Jr.","Jimmy Horn Jr.",0.0151515151515152,298
"KC","00-0040890","C.Allen",0,1,0,68,"Cyrus Allen","Cyrus Allen",0.0147058823529412,299
"KC","00-0040081","J.Briningstool",1,1,0,68,"Jake Briningstool","Jake Briningstool",0.0147058823529412,300
"PIT","00-0036862","B.Skowronek",1,1,0,74,"Ben Skowronek","Ben Skowronek",0.0135135135135135,301
"DET","00-0036754","B.Wright",1,1,0,77,"Brock Wright","Brock Wright",0.012987012987013,302
"NO","00-0037231","K.Austin",1,1,0,84,"Kevin Austin Jr.","Kevin Austin Jr.",0.0119047619047619,303
"NO","00-0041041","O.Delp",1,1,0,84,"Oscar Delp","Oscar Delp",0.0119047619047619,304
"HOU","00-0039359","C.Stover",1,1,0,87,"Cade Stover","Cade Stover",0.0114942528735632,305
"HOU","00-0041472","M.Klein",1,1,0,87,"Marlin Klein","Marlin Klein",0.0114942528735632,306
