"posteam","receiver_player_id","short_name","receptions","targets","red_zone_targets","team_targets","display_name","player","target_share","rank"
"CLE","00-0040663","H.Fannin",7,9,0,52,"Harold Fannin Jr.","Harold Fannin Jr.",0.173076923076923,67
"HOU","00-0038618","X.Hutchinson",6,15,1,87,"Xavier Hutchinson","Xavier Hutchinson",0.172413793103448,68
"LAC","00-0040727","T.Harris",4,9,0,53,"Tre Harris","Tre Harris",0.169811320754717,69
"CIN","00-0038597","C.Brown",8,11,1,65,"Chase Brown","Chase Brown",0.169230769230769,70
"DET","00-0039139","J.Gibbs",11,13,2,77,"Jahmyr Gibbs","Jahmyr Gibbs",0.168831168831169,71
"DET","00-0037240","J.Williams",6,13,1,77,"Jameson Williams","Jameson Williams",0.168831168831169,72
"TB","00-0041048","T.Hurst",5,10,2,60,"Ted Hurst III","Ted Hurst III",0.166666666666667,73
"MIN","00-0038994","J.Addison",2,7,1,42,"Jordan Addison","Jordan Addison",0.166666666666667,74
"NYG","00-0041042","M.Fields",4,10,0,61,"Malachi Fields","Malachi Fields",0.163934426229508,75
"DAL","00-0039410","R.Flournoy",7,10,0,61,"Ryan Flournoy","Ryan Flournoy",0.163934426229508,76
"SF","00-0033288","G.Kittle",6,9,3,55,"George Kittle","George Kittle",0.163636363636364,77
"PIT","00-0039739","R.Wilson",8,12,0,74,"Roman Wilson","Roman Wilson",0.162162162162162,78
"DEN","00-0034348","C.Sutton",5,9,2,56,"Courtland Sutton","Courtland Sutton",0.160714285714286,79
"LA","00-0039075","P.Nacua",5,9,1,57,"Puka Nacua","Puka Nacua",0.157894736842105,80
"TEN","00-0040584","G.Helm",6,7,2,45,"Gunnar Helm","Gunnar Helm",0.155555555555556,81
"TEN","00-0038117","W.Robinson",6,7,0,45,"Wan'Dale Robinson","Wan'Dale Robinson",0.155555555555556,82
"NE","00-0033090","H.Henry",6,8,1,52,"Hunter Henry","Hunter Henry",0.153846153846154,83
"NE","00-0036875","R.Stevenson",6,8,0,52,"Rhamondre Stevenson","Rhamondre Stevenson",0.153846153846154,84
"LAC","00-0033885","D.Njoku",6,8,1,53,"David Njoku","David Njoku",0.150943396226415,85
"DAL","00-0036997","J.Williams",8,9,3,61,"Javonte Williams","Javonte Williams",0.147540983606557,86
"BUF","00-0034827","D.Moore",5,8,0,56,"DJ Moore","DJ Moore",0.142857142857143,87
"ATL","00-0037741","J.Dotson",3,7,0,50,"Jahan Dotson","Jahan Dotson",0.14,88
"LV","00-0037291","J.Nailor",4,8,1,58,"Jalen Nailor","Jalen Nailor",0.137931034482759,89
"IND","00-0036223","J.Taylor",7,8,0,59,"Jonathan Taylor","Jonathan Taylor",0.135593220338983,90
"PIT","00-0037228","J.Warren",7,10,2,74,"Jaylen Warren","Jaylen Warren",0.135135135135135,91
"PIT","00-0036894","P.Freiermuth",9,10,2,74,"Pat Freiermuth","Pat Freiermuth",0.135135135135135,92
"NE","00-0033555","M.Hollins",6,7,1,52,"Mack Hollins","Mack Hollins",0.134615384615385,93
"CLE","00-0040784","Q.Judkins",7,7,0,52,"Quinshon Judkins","Quinshon Judkins",0.134615384615385,94
"NE","00-0037816","R.Doubs",3,7,0,52,"Romeo Doubs","Romeo Doubs",0.134615384615385,95
"TEN","00-0040170","E.Ayomanor",3,6,3,45,"Elic Ayomanor","Elic Ayomanor",0.133333333333333,96
"TEN","00-0039032","T.Spears",4,6,0,45,"Tyjae Spears","Tyjae Spears",0.133333333333333,97
"NO","00-0036040","J.Johnson",7,11,4,84,"Juwan Johnson","Juwan Johnson",0.130952380952381,98
"NO","00-0036973","T.Etienne",9,11,2,84,"Travis Etienne","Travis Etienne",0.130952380952381,99
"GB","00-0038996","T.Kraft",5,9,0,69,"Tucker Kraft","Tucker Kraft",0.130434782608696,100
"WAS","00-0036626","D.Brown",4,8,1,63,"Dyami Brown","Dyami Brown",0.126984126984127,101
"WAS","00-0037256","R.White",8,8,1,63,"Rachaad White","Rachaad White",0.126984126984127,102
"PHI","00-0034351","D.Goedert",5,7,2,56,"Dallas Goedert","Dallas Goedert",0.125,103
"BUF","00-0037248","J.Cook",4,7,2,56,"James Cook","James Cook",0.125,104
"BUF","00-0039901","K.Coleman",7,7,1,56,"Keon Coleman","Keon Coleman",0.125,105
"DEN","00-0040134","P.Bryant",4,7,0,56,"Pat Bryant","Pat Bryant",0.125,106
"CHI","00-0039919","R.Odunze",5,7,0,56,"Rome Odunze","Rome Odunze",0.125,107
"MIN","00-0035249","J.Oliver",3,5,0,42,"Josh Oliver","Josh Oliver",0.119047619047619,108
"IND","00-0037664","A.Pierce",5,7,1,59,"Alec Pierce","Alec Pierce",0.11864406779661,109
"NYJ","00-0038120","B.Hall",7,7,0,59,"Breece Hall","Breece Hall",0.11864406779661,110
"NYJ","00-0039451","I.Williams",7,7,1,59,"Isaiah Williams","Isaiah Williams",0.11864406779661,111
"KC","00-0039067","R.Rice",6,8,2,68,"Rashee Rice","Rashee Rice",0.117647058823529,112
"TB","00-0033921","C.Godwin",7,7,0,60,"Chris Godwin Jr.","Chris Godwin Jr.",0.116666666666667,113
"GB","00-0039146","J.Reed",4,8,1,69,"Jayden Reed","Jayden Reed",0.115942028985507,114
"HOU","00-0036554","N.Collins",7,10,2,87,"Nico Collins","Nico Collins",0.114942528735632,115
"BAL","00-0039064","Z.Flowers",5,6,0,53,"Zay Flowers","Zay Flowers",0.113207547169811,116
"WAS","00-0041040","A.Williams",7,7,2,63,"Antonio Williams","Antonio Williams",0.111111111111111,117
"ARI","00-0041027","J.Love",5,7,1,63,"Jeremiyah Love","Jeremiyah Love",0.111111111111111,118
"SF","00-0032775","D.Robinson",5,6,2,55,"Demarcus Robinson","Demarcus Robinson",0.109090909090909,119
"PIT","00-0041489","G.Bernard",4,8,1,74,"Germie Bernard","Germie Bernard",0.108108108108108,120
"CIN","00-0034829","M.Gesicki",5,7,2,65,"Mike Gesicki","Mike Gesicki",0.107692307692308,121
"CHI","00-0036275","D.Swift",6,6,1,56,"D'Andre Swift","D'Andre Swift",0.107142857142857,122
"DEN","00-0033881","E.Engram",5,6,1,56,"Evan Engram","Evan Engram",0.107142857142857,123
"CAR","00-0037005","T.Tremble",4,7,1,66,"Tommy Tremble","Tommy Tremble",0.106060606060606,124
"LV","00-0040729","J.Bech",5,6,2,58,"Jack Bech","Jack Bech",0.103448275862069,125
"JAX","00-0038935","B.Strange",4,5,2,49,"Brenton Strange","Brenton Strange",0.102040816326531,126
"NYJ","00-0041032","K.Sadiq",5,6,0,59,"Kenyon Sadiq","Kenyon Sadiq",0.101694915254237,127
"SEA","00-0033908","C.Kupp",4,5,0,50,"Cooper Kupp","Cooper Kupp",0.1,128
"MIA","00-0037252","G.Dulcich",4,5,1,50,"Greg Dulcich","Greg Dulcich",0.1,129
"DAL","00-0038041","J.Ferguson",6,6,3,61,"Jake Ferguson","Jake Ferguson",0.0983606557377049,130
"CLE","00-0036407","J.Jeudy",2,5,0,52,"Jerry Jeudy","Jerry Jeudy",0.0961538461538462,131
"NO","00-0035644","N.Fant",4,8,1,84,"Noah Fant","Noah Fant",0.0952380952380952,132
"PIT","00-0036139","R.Dowdle",4,7,0,74,"Rico Dowdle","Rico Dowdle",0.0945945945945946,133
"BAL","00-0032398","C.Moore",2,5,0,53,"Chris Moore","Chris Moore",0.0943396226415094,134
"HOU","00-0038728","J.Wayne",3,8,1,87,"Jared Wayne","Jared Wayne",0.0919540229885057,135
"CAR","00-0039342","X.Legette",2,6,1,66,"Xavier Legette","Xavier Legette",0.0909090909090909,136
"CHI","00-0040126","C.Loveland",1,5,2,56,"Colston Loveland","Colston Loveland",0.0892857142857143,137
"BUF","00-0036988","J.Palmer",2,5,0,56,"Josh Palmer","Josh Palmer",0.0892857142857143,138
"PHI","00-0040867","M.Lemon",4,5,0,56,"Makai Lemon","Makai Lemon",0.0892857142857143,139
"LA","00-0037840","K.Williams",5,5,1,57,"Kyren Williams","Kyren Williams",0.087719298245614,140
"TB","00-0036919","K.Gainwell",4,5,1,60,"Kenny Gainwell","Kenny Gainwell",0.0833333333333333,141
"TB","00-0040237","T.Johnson",1,5,2,60,"Tez Johnson","Tez Johnson",0.0833333333333333,142
"NYG","00-0036309","D.Mooney",4,5,0,61,"Darnell Mooney","Darnell Mooney",0.0819672131147541,143
"NYG","00-0035250","D.Singletary",4,5,2,61,"Devin Singletary","Devin Singletary",0.0819672131147541,144
"NYG","00-0039847","T.Johnson",1,5,0,61,"Theo Johnson","Theo Johnson",0.0819672131147541,145
"HOU","00-0040138","J.Noel",3,7,0,87,"Jaylin Noel","Jaylin Noel",0.0804597701149425,146
"HOU","00-0038608","K.Boutte",4,7,1,87,"Kayshon Boutte","Kayshon Boutte",0.0804597701149425,147
"HOU","00-0040583","W.Marks",6,7,2,87,"Woody Marks","Woody Marks",0.0804597701149425,148
"ATL","00-0032392","A.Hooper",2,4,0,50,"Austin Hooper","Austin Hooper",0.08,149
"SEA","00-0041512","J.Price",3,4,0,50,"Jadarian Price","Jadarian Price",0.08,150
"ATL","00-0036970","K.Pitts",1,4,0,50,"Kyle Pitts","Kyle Pitts",0.08,151
"ATL","00-0035208","O.Zaccheaus",2,4,0,50,"Olamide Zaccheaus","Olamide Zaccheaus",0.08,152
"DET","00-0040669","I.TeSlaa",2,6,1,77,"Isaac TeSlaa","Isaac TeSlaa",0.0779220779220779,153
"NE","00-0035676","A.Brown",3,4,0,52,"A.J. Brown","A.J. Brown",0.0769230769230769,154
